RHF	UHF	RCCSD	UCCSD	CASSCF
0.5	-0.049293	-0.049293	-0.079862 	-0.079862	-0.061641 
0.6	-0.107385	-0.107385	-0.139665 	-0.139666	-0.121901 
0.7	-0.127417	-0.127417	-0.161397 	-0.161397	-0.144470 
0.8	-0.127493	-0.127493	-0.163243 	-0.163243	-0.147466 
0.9	-0.116884	-0.116884	-0.154574 	-0.154574	-0.140177 
1.0	-0.100646	-0.100646	-0.140566 	-0.140566	-0.127692 
1.1	-0.081663	-0.081663	-0.124227 	-0.124227	-0.112942 
1.2	-0.061604	-0.061604	-0.107347 	-0.107347	-0.097648 
1.3	-0.041431	-0.041431	-0.090986 	-0.090986	-0.082819 
1.4	-0.021689	-0.021689	-0.075763 	-0.075763	-0.069036 
1.5	-0.002685	-0.002685	-0.062027 	-0.062027	-0.056618 
1.6	0.015411	0.015411	-0.049957 	-0.049957	-0.045713 
1.7	0.032508	0.032508	-0.039606 	-0.039606	-0.036357 
1.8	0.048568	0.048568	-0.030931 	-0.030931	-0.028498 
1.9	0.063590	0.063590	-0.023814 	-0.023814	-0.022026 
2.0	0.077599	0.077599	-0.018086 	-0.018086	-0.016792 
2.1	0.090639	0.090639	-0.013552 	-0.013552	-0.012624 
2.2	0.102761	0.102761	-0.010013 	-0.010013	-0.009353 
2.3	0.114022	0.114022	-0.007283 	-0.007283	-0.006817 
2.4	0.124477	0.124477	-0.005199 	-0.005199	-0.004870 
2.5	0.134178	0.134178	-0.003621 	-0.003621	-0.003389 
2.6	0.143176	0.143176	-0.002435 	-0.002435	-0.002271 
2.7	0.151520	0.151520	-0.001549 	-0.001549	-0.001433 
2.8	0.159255	0.159255	-0.000890 	-0.000890	-0.000807 
2.9	0.166421	0.166421	-0.000402 	-0.000402	-0.000343 
3.0	0.173060	0.173060	-0.000043 	-0.000043	0.000000 
