RHF	UHF	RCCSD	UCCSD	CASSCF
0.5	5.734048	5.734048	5.530042 	5.530042	5.681002 
0.6	2.730170	2.730170	2.513767 	2.513767	2.671191 
0.7	1.163855	1.163855	0.930080 	0.930080	1.091560 
0.8	0.370063	0.370063	0.117567 	0.117567	0.282095 
0.9	-0.005377	-0.005377	-0.277214 	-0.277214	-0.111248 
1.0	-0.152416	-0.152416	-0.444498 	-0.444498	-0.278603 
1.1	-0.176374	-0.176374	-0.489967 	-0.489967	-0.325421 
1.2	-0.136630	-0.136630	-0.473197 	-0.473197	-0.311098 
1.3	-0.066466	-0.066466	-0.427446 	-0.427446	-0.268815 
1.4	0.015704	0.015704	-0.370961 	-0.370961	-0.216814 
1.5	0.099908	0.099908	-0.313543 	-0.313543	-0.164926 
1.6	0.181049	0.181049	-0.260305 	-0.260305	-0.118300 
1.7	0.256814	0.256814	-0.213943 	-0.213943	-0.079572 
1.8	0.326379	0.326379	-0.176219 	-0.176219	-0.049957 
1.9	0.389641	0.389641	-0.148953 	-0.148953	-0.029397 
2.0	0.446839	0.446839	-0.134488 	-0.134488	-0.016479 
2.1	0.498377	0.498377	-0.134673 	-0.134673	-0.009015 
2.2	0.544736	0.544736	-0.146907 	-0.146907	-0.004941 
2.3	0.586419	0.586419	-0.163628 	-0.163628	-0.002777 
2.4	0.623912	0.623912	0.048148 	-0.179155	-0.001621 
2.5	0.657669	0.657669	0.200362 	-0.191774	-0.000980 
2.6	0.688101	0.688101	0.271006 	-0.201587	-0.000602 
2.7	0.715578	0.715578	-0.280060 	-0.209129	-0.000364 
2.8	0.740426	0.740426	0.220243 	-0.214933	-0.000203 
2.9	0.762931	0.762931	0.245787 	0.204754	-0.000088 
3.0	0.783343	0.783343	0.194318 	-0.222935	0.000000 
