RHF	UHF	RCCSD	UCCSD	CASSCF
0.5	-1.048801	-1.048801	-1.079370 	-1.079370	-1.061149 
0.6	-1.106892	-1.106892	-1.139173 	-1.139173	-1.121409 
0.7	-1.126925	-1.126925	-1.160905 	-1.160905	-1.143977 
0.8	-1.127001	-1.127001	-1.162751 	-1.162751	-1.146974 
0.9	-1.116391	-1.116391	-1.154082 	-1.154082	-1.139684 
1.0	-1.100154	-1.100154	-1.140073 	-1.140073	-1.127199 
1.1	-1.081171	-1.081171	-1.123735 	-1.123735	-1.112449 
1.2	-1.061112	-1.061112	-1.106855 	-1.106855	-1.097156 
1.3	-1.040939	-1.040939	-1.090494 	-1.090494	-1.082327 
1.4	-1.021197	-1.021197	-1.075271 	-1.075271	-1.068544 
1.5	-1.002193	-1.002193	-1.061535 	-1.061535	-1.056125 
1.6	-0.984097	-0.984097	-1.049464 	-1.049464	-1.045221 
1.7	-0.966999	-0.966999	-1.039113 	-1.039113	-1.035864 
1.8	-0.950939	-0.950939	-1.030439 	-1.030439	-1.028006 
1.9	-0.935918	-0.935918	-1.023322 	-1.023322	-1.021534 
2.0	-0.921909	-0.921909	-1.017594 	-1.017594	-1.016299 
2.1	-0.908869	-0.908869	-1.013059 	-1.013059	-1.012132 
2.2	-0.896746	-0.896746	-1.009520 	-1.009520	-1.008861 
2.3	-0.885486	-0.885486	-1.006791 	-1.006791	-1.006325 
2.4	-0.875031	-0.875031	-1.004707 	-1.004707	-1.004378 
2.5	-0.865330	-0.865330	-1.003129 	-1.003129	-1.002897 
2.6	-0.856332	-0.856332	-1.001943 	-1.001943	-1.001779 
2.7	-0.847988	-0.847988	-1.001057 	-1.001057	-1.000940 
2.8	-0.840253	-0.840253	-1.000398 	-1.000398	-1.000315 
2.9	-0.833086	-0.833086	-0.999910 	-0.999910	-0.999851 
3.0	-0.826448	-0.826448	-0.999551 	-0.999551	-0.999508 
